first,second,overlap_ratio
45842497,45842477,1.0
46021164,46021152,1.0
46020194,46020135,0.9230769230769231
45074118,43853983,1.0
45782430,45782390,0.974025974025974
45384038,45383992,1.0
44425828,44425818,1.0
46020644,45695457,0.9058823529411765
46020644,45288944,0.9058823529411765
45851276,45677671,1.0
45851276,45677650,1.0
45851276,45335660,1.0
45851276,44942074,1.0
45834501,45758174,1.0
45677671,45677650,1.0
45677671,45335660,1.0
45677671,44942074,1.0
45677650,45335660,1.0
45677650,44942074,1.0
45599092,45288944,0.9166666666666666
45599092,45029817,0.9058823529411765
45335660,44942074,1.0
45850641,45676423,1.0
45714263,45481602,0.9032258064516129
39674094,39447602,1.0
45539161,45539156,1.0
45958363,45923182,0.9058823529411765
45932359,45932317,1.0
45932359,45932138,1.0
45932359,45932104,1.0
45932359,45931760,1.0
45932359,45931720,1.0
45932359,45931696,1.0
45932359,45931670,1.0
45932359,45931656,1.0
45932359,45931611,1.0
45932359,45931579,1.0
45932359,45931524,1.0
45932317,45932138,1.0
45932317,45932104,1.0
45932317,45931760,1.0
45932317,45931720,1.0
45932317,45931696,1.0
45932317,45931670,1.0
45932317,45931656,1.0
45932317,45931611,1.0
45932317,45931579,1.0
45932317,45931524,1.0
45932138,45932104,1.0
45932138,45931760,1.0
45932138,45931720,1.0
45932138,45931696,1.0
45932138,45931670,1.0
45932138,45931656,1.0
45932138,45931611,1.0
45932138,45931579,1.0
45932138,45931524,1.0
45932104,45931760,1.0
45932104,45931720,1.0
45932104,45931696,1.0
45932104,45931670,1.0
45932104,45931656,1.0
45932104,45931611,1.0
45932104,45931579,1.0
45932104,45931524,1.0
45931760,45931720,1.0
45931760,45931696,1.0
45931760,45931670,1.0
45931760,45931656,1.0
45931760,45931611,1.0
45931760,45931579,1.0
45931760,45931524,1.0
45931720,45931696,1.0
45931720,45931670,1.0
45931720,45931656,1.0
45931720,45931611,1.0
45931720,45931579,1.0
45931720,45931524,1.0
45931696,45931670,1.0
45931696,45931656,1.0
45931696,45931611,1.0
45931696,45931579,1.0
45931696,45931524,1.0
45931670,45931656,1.0
45931670,45931611,1.0
45931670,45931579,1.0
45931670,45931524,1.0
45931656,45931611,1.0
45931656,45931579,1.0
45931656,45931524,1.0
45931611,45931579,1.0
45931611,45931524,1.0
45931579,45931524,1.0
45846502,45812314,1.0
46021047,46004422,1.0
46021047,45838040,1.0
46004422,45838040,1.0
38308138,35542491,0.9701492537313433
46022092,46022094,0.9322033898305084
45891118,45270764,1.0
45858719,45493192,0.9090909090909091
45741836,45741859,1.0
44991147,44991151,1.0
45748197,45287295,0.9456521739130435
45542595,45542573,1.0
45814396,45814356,0.9024390243902439
38447590,35234154,0.9333333333333333
45798755,45798488,0.92
44531948,44531923,0.9393939393939394
41812512,41812506,1.0
41812512,41717430,1.0
41812512,41695358,1.0
41812512,41686393,1.0
41812512,41686364,1.0
41812512,41686348,1.0
41812512,41684090,1.0
41812512,41674911,1.0
41812512,41674906,1.0
41812512,41674767,1.0
41812512,41674731,1.0
41812512,41674697,1.0
41812512,41674683,1.0
41812506,41717430,1.0
41812506,41695358,1.0
41812506,41686393,1.0
41812506,41686364,1.0
41812506,41686348,1.0
41812506,41684090,1.0
41812506,41674911,1.0
41812506,41674906,1.0
41812506,41674767,1.0
41812506,41674731,1.0
41812506,41674697,1.0
41812506,41674683,1.0
41717430,41695358,1.0
41717430,41686393,1.0
41717430,41686364,1.0
41717430,41686348,1.0
41717430,41684090,1.0
41717430,41674911,1.0
41717430,41674906,1.0
41717430,41674767,1.0
41717430,41674731,1.0
41717430,41674697,1.0
41717430,41674683,1.0
41695358,41686393,1.0
41695358,41686364,1.0
41695358,41686348,1.0
41695358,41684090,1.0
41695358,41674911,1.0
41695358,41674906,1.0
41695358,41674767,1.0
41695358,41674731,1.0
41695358,41674697,1.0
41695358,41674683,1.0
41689038,41689025,1.0
41686393,41686364,1.0
41686393,41686348,1.0
41686393,41684090,1.0
41686393,41674911,1.0
41686393,41674906,1.0
41686393,41674767,1.0
41686393,41674731,1.0
41686393,41674697,1.0
41686393,41674683,1.0
41686364,41686348,1.0
41686364,41684090,1.0
41686364,41674911,1.0
41686364,41674906,1.0
41686364,41674767,1.0
41686364,41674731,1.0
41686364,41674697,1.0
41686364,41674683,1.0
41686348,41684090,1.0
41686348,41674911,1.0
41686348,41674906,1.0
41686348,41674767,1.0
41686348,41674731,1.0
41686348,41674697,1.0
41686348,41674683,1.0
41684090,41674911,1.0
41684090,41674906,1.0
41684090,41674767,1.0
41684090,41674731,1.0
41684090,41674697,1.0
41684090,41674683,1.0
41674911,41674906,1.0
41674911,41674767,1.0
41674911,41674731,1.0
41674911,41674697,1.0
41674911,41674683,1.0
41674906,41674767,1.0
41674906,41674731,1.0
41674906,41674697,1.0
41674906,41674683,1.0
41674767,41674731,1.0
41674767,41674697,1.0
41674767,41674683,1.0
41674731,41674697,1.0
41674731,41674683,1.0
41674697,41674683,1.0
45849598,45849562,1.0
45901429,45901401,1.0
45901429,45901338,1.0
45901429,45901328,1.0
45901429,45901264,1.0
45901401,45901338,1.0
45901401,45901328,1.0
45901401,45901264,1.0
45901338,45901328,1.0
45901338,45901264,1.0
45901328,45901264,1.0
45936606,45925042,1.0
45936606,45811243,1.0
45936606,45811203,1.0
45936606,45811215,1.0
45936606,45811231,1.0
45936606,45811233,1.0
45925042,45811243,1.0
45925042,45811203,1.0
45925042,45811215,1.0
45925042,45811231,1.0
45925042,45811233,1.0
45811243,45811203,1.0
45811243,45811215,1.0
45811243,45811231,1.0
45811243,45811233,1.0
45811203,45811215,1.0
45811203,45811231,1.0
45811203,45811233,1.0
45811215,45811231,1.0
45811215,45811233,1.0
45811231,45811233,1.0
45885507,45885505,0.9381443298969072
45707801,45697989,1.0
45916257,45916220,0.9692307692307692
45916257,45916208,0.9402985074626866
45916220,45916208,0.9402985074626866
38184219,38184218,0.9428571428571428
46018244,46018233,1.0
46018244,46018207,1.0
46018244,46018203,1.0
46018244,46018202,1.0
46018244,46018200,1.0
46018233,46018207,1.0
46018233,46018203,1.0
46018233,46018202,1.0
46018233,46018200,1.0
46018207,46018203,1.0
46018207,46018202,1.0
46018207,46018200,1.0
46018203,46018202,1.0
46018203,46018200,1.0
46018202,46018200,1.0
45945049,45945048,1.0
45727365,45727364,1.0
45985138,45948821,0.9523809523809523
45985138,46011225,0.9523809523809523
45985136,45948800,0.9523809523809523
45985136,46011205,1.0
